Timestamp,tempLow,tempHigh,WindspeedHigh,WindspeedLow,WindspeedAvg,WindgustHigh,WindgustLow,WindgustAvg,PrecipRate,PrecipTotal
2019-01-19T11:59:50Z,1.70,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.02
2019-01-19T12:59:50Z,1.80,2.40,0.30,0.00,0.00,1.80,0.00,0.00,0.00,1.02
2019-01-19T13:59:50Z,2.30,2.50,1.40,0.00,0.00,1.80,0.00,0.20,0.00,1.02
2019-01-19T14:59:50Z,2.40,2.50,1.40,0.00,0.00,1.80,0.00,0.10,0.00,1.02
2019-01-19T15:59:50Z,2.10,2.40,0.30,0.00,0.00,1.80,0.00,0.00,0.00,1.02
2019-01-19T16:59:50Z,1.90,2.10,1.40,0.00,0.00,1.80,0.00,0.10,0.00,1.02
2019-01-19T17:59:50Z,1.60,1.90,0.30,0.00,0.00,1.80,0.00,0.00,0.00,1.02
2019-01-19T18:59:51Z,1.60,1.70,1.10,0.00,0.00,1.80,0.00,0.10,0.00,1.02
2019-01-19T19:59:51Z,1.50,1.70,0.60,0.00,0.00,1.80,0.00,0.00,0.00,1.02
2019-01-19T20:59:51Z,1.50,1.70,1.80,0.00,0.10,1.80,0.00,0.20,0.00,1.02
2019-01-19T21:59:51Z,1.50,1.60,1.40,0.00,0.10,1.80,0.00,0.10,0.00,1.02
2019-01-19T22:59:51Z,1.50,1.70,2.90,0.00,0.10,3.50,0.00,0.20,0.00,1.02
2019-01-19T23:59:39Z,1.50,1.90,3.50,0.00,0.40,3.50,0.00,0.60,0.00,1.02
2019-01-20T00:59:51Z,1.50,1.70,1.40,0.00,0.10,1.80,0.00,0.20,0.00,0.00
2019-01-20T01:59:51Z,1.50,1.80,3.50,0.00,0.50,3.50,0.00,0.90,0.00,0.00
2019-01-20T02:59:52Z,1.40,1.70,2.10,0.00,0.10,3.50,0.00,0.30,0.00,0.00
